;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9;1.0;1.1;1.2;1.3
0.3;38;43;49;54;59;65;70;75;80;86;91;96
0.4;39;44;50;55;61;66;71;77;82;88;93;99
0.5;40;45;51;56;62;67;73;78;84;90;95;101
0.6;41;46;52;58;63;69;75;80;86;92;97;103
0.7;42;47;53;59;65;70;76;82;88;93;99;105
0.8;43;49;55;58;64;71;77;83;90;96;102;108
0.9;44;50;56;60;67;74;81;87;94;101;108;114
1.0;45;51;57;63;70;77;84;92;99;106;113;120
1.1;46;52;58;66;73;81;88;96;103;111;119;126
1.2;47;53;60;68;76;84;92;100;108;116;124;132
1.3;48;54;61;71;79;88;96;104;113;121;129;138
1.4;49;56;62;73;82;91;100;109;117;126;135;144
1.5;50;57;63;76;85;94;104;113;122;131;141;150
1.6;52;58;64;78;88;98;107;117;127;136;146;156
1.7;53;59;65;81;91;101;111;121;131;141;152;161
1.8;54;60;66;84;94;105;115;125;136;146;157;167
1.9;55;61;67;86;97;108;119;130;141;152;162;173
2.0;56;62;68;89;100;111;123;134;145;157;168;179
2.1;57;63;70;92;103;115;127;138;150;162;173;185
2.2;58;64;71;94;106;118;130;142;155;167;179;191
