;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9;1.0;1.1;1.2;1.3
0.3;32;36;41;45;50;55;59;64;68;73;77;82
0.4;33;37;42;46;51;56;60;65;70;74;79;84
0.5;33;38;43;47;52;57;61;66;71;76;80;85
0.6;34;39;44;48;53;58;63;67;72;77;82;87
0.7;35;40;45;50;54;59;64;69;74;78;83;88
0.8;36;41;46;51;56;60;65;70;75;80;85;90
0.9;37;42;48;53;58;63;68;73;78;84;89;94
1.0;38;43;49;54;60;65;71;76;82;88;93;99
1.1;39;45;51;56;62;68;74;80;86;91;97;103
1.2;40;46;52;58;65;71;77;83;89;95;101;107
1.3;41;48;54;60;67;73;80;86;92;99;105;112
1.4;42;48;55;62;69;76;82;89;96;103;109;116
1.5;43;50;57;64;71;78;85;92;99;107;114;121
1.6;44;52;59;66;73;81;88;96;103;110;118;125
1.7;45;52;60;68;76;83;91;99;107;114;122;129
1.8;46;54;62;70;78;86;94;102;110;118;126;134
1.9;47;55;64;72;80;89;97;105;113;122;130;138
2.0;48;57;65;74;82;91;100;108;117;125;134;143
2.1;49;58;67;76;85;94;103;111;120;129;138;147
2.2;50;59;69;78;87;96;105;115;124;133;142;152
