;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9;1.0;1.1;1.2;1.3
0.3;39;44;50;55;60;65;71;76;81;86;92;97
0.4;40;46;52;58;64;69;75;81;87;93;99;105
0.5;41;48;54;60;67;73;80;86;93;99;106;112
0.6;42;49;56;63;70;77;85;92;99;106;113;120
0.7;43;51;58;66;74;81;89;97;105;112;120;128
0.8;44;52;60;69;77;85;94;102;110;119;127;135
0.9;45;54;63;72;81;90;99;108;117;126;135;144
1.0;47;57;66;76;85;95;105;114;124;134;144;153
1.1;48;59;69;79;90;100;110;121;131;142;152;162
1.2;49;60;71;83;94;105;116;127;138;149;160;172
1.3;50;62;74;86;98;110;122;133;145;157;169;181
1.4;52;65;77;90;102;115;127;140;152;165;177;190
1.5;54;67;80;93;106;120;133;146;159;172;185;199
1.6;55;69;83;97;110;124;138;152;166;180;194;208
1.7;57;71;86;100;115;129;144;158;173;188;202;217
1.8;58;73;88;104;119;134;150;165;180;195;211;226
1.9;59;75;91;107;123;139;155;171;187;203;219;235
2.0;60;77;94;110;127;144;161;177;194;211;227;244
2.1;62;79;97;114;131;149;166;183;201;218;236;253
2.2;63;81;99;118;136;154;172;190;208;226;244;262
