;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9;1.0;1.1;1.2;1.3
0.3;30;34;39;43;47;51;55;60;64;68;72;76
0.4;30;35;39;44;48;52;57;61;66;70;74;79
0.5;31;35;40;44;49;54;58;63;67;72;76;81
0.6;31;36;41;45;50;55;60;64;69;74;79;83
0.7;31;36;41;46;51;56;61;66;71;76;81;86
0.8;32;37;42;47;52;57;62;67;72;77;82;88
0.9;32;37;43;48;54;59;64;69;75;80;85;90
1.0;33;39;44;49;55;60;66;71;77;82;88;93
1.1;33;39;45;50;56;62;67;73;79;84;90;96
1.2;34;40;46;52;58;63;69;75;81;87;93;98
1.3;34;41;47;53;59;65;71;77;83;89;95;101
1.4;36;42;48;54;60;66;73;79;85;91;98;104
1.5;36;42;49;55;62;68;75;81;87;94;100;107
1.6;36;43;50;56;63;70;76;83;89;96;103;109
1.7;37;44;51;58;64;71;78;85;92;98;105;112
1.8;37;44;52;59;66;73;80;87;94;101;108;115
1.9;38;45;53;60;67;74;81;89;96;103;110;117
2.0;39;46;54;61;68;76;83;91;98;105;113;120
2.1;39;47;55;62;70;77;85;92;100;108;115;123
2.2;40;48;56;63;71;79;87;94;102;110;118;125
