;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9;1.0;1.1;1.2;1.3
0.3;52;59;65;71;78;84;90;97;103;109;116;122
0.4;54;61;69;76;84;91;99;106;114;121;129;136
0.5;55;64;73;81;90;98;107;116;124;133;142;150
0.6;57;66;76;86;96;106;115;125;135;145;155;164
0.7;58;69;80;91;102;113;124;135;146;157;168;178
0.8;59;72;84;96;108;120;132;144;156;169;181;193
0.9;61;75;88;101;115;128;141;155;168;181;195;208
1.0;63;77;92;107;121;136;151;165;180;194;209;224
1.1;64;80;96;112;128;144;160;176;192;207;223;239
1.2;66;83;100;118;135;152;169;186;203;220;238;255
1.3;68;86;105;123;141;160;178;197;215;233;252;270
1.4;69;89;109;128;148;168;187;207;227;247;266;286
1.5;71;92;113;134;155;176;197;218;239;260;281;301
1.6;73;95;117;139;161;184;206;228;250;273;295;317
1.7;74;98;121;145;168;192;215;239;262;286;309;333
1.8;76;101;125;150;175;199;224;249;274;299;323;348
1.9;77;103;129;156;181;207;233;260;286;312;338;364
2.0;79;106;134;161;188;215;243;270;297;325;352;379
2.1;81;109;138;166;195;223;252;281;309;338;366;395
2.2;82;112;142;172;201;231;261;291;321;351;381;410
