973;zhalyuzi/plisse/dzhakarta-84501;112;2;1;1
974;zhalyuzi/plisse/isfahan-1608;112;2;0;1
975;zhalyuzi/plisse/isfahan-2746;112;2;0;1
976;zhalyuzi/plisse/isfahan-4200;112;2;0;1
977;zhalyuzi/plisse/isfahan-4210;112;2;0;1
978;zhalyuzi/plisse/kent-02251;112;2;1;1
979;zhalyuzi/plisse/kent-24061;112;2;0;1
980;zhalyuzi/plisse/krash-metall1;112;2;0;1
981;zhalyuzi/plisse/krash-perla-0225;112;2;0;1
982;zhalyuzi/plisse/krash-perla-17101;99;1;0;1
983;zhalyuzi/plisse/krash-perla-19081;99;1;0;1
984;zhalyuzi/plisse/krash-perla-22591;99;1;0;1
985;zhalyuzi/plisse/krash-perla-24061;99;1;0;1
986;zhalyuzi/plisse/krash-perla-27461;99;1;0;1
987;zhalyuzi/plisse/krash-perla-28681;99;1;0;1
988;zhalyuzi/plisse/krash-perla-28701;99;1;0;1
989;zhalyuzi/plisse/krash-perla-32101;99;1;0;1
990;zhalyuzi/plisse/krash-perla-34901;99;1;0;1
991;zhalyuzi/plisse/krash-perla-34991;99;1;0;1
992;zhalyuzi/plisse/krash-perla-40631;99;1;0;1
993;zhalyuzi/plisse/krash-perla-40771;130;2;1;1
994;zhalyuzi/plisse/krash-perla-41581;130;2;0;1
995;zhalyuzi/plisse/krash-perla-42021;130;2;0;1
996;zhalyuzi/plisse/krash-perla-42211;130;2;0;1
997;zhalyuzi/plisse/krash-perla-42921;130;2;0;1
998;zhalyuzi/plisse/krash-perla-45231;130;2;0;1
999;zhalyuzi/plisse/krash-perla-48581;130;2;0;1
1000;zhalyuzi/plisse/krash-perla-51731;130;2;0;1
1001;zhalyuzi/plisse/krash-perla-53021;130;2;0;1
1002;zhalyuzi/plisse/krash-perla-55011;99;1;1;1
1003;zhalyuzi/plisse/krash-perla-56121;99;1;0;1
1004;zhalyuzi/plisse/krash-02251;99;1;0;1
1005;zhalyuzi/plisse/krash-40641;99;1;0;1
1006;zhalyuzi/plisse/krash-55011;112;2;1;1
1007;zhalyuzi/plisse/krep-perla-02251;112;2;0;1
1008;zhalyuzi/plisse/krep-perla-16081;130;2;0;1
1009;zhalyuzi/plisse/krep-perla-19081;130;2;0;1
1010;zhalyuzi/plisse/krep-perla-24061;130;2;0;1
1011;zhalyuzi/plisse/krep-perla-27461;112;2;0;1
1012;zhalyuzi/plisse/krep-perla-28701;112;2;0;1
1013;zhalyuzi/plisse/krep-perla-32101;99;1;1;1
1014;zhalyuzi/plisse/krep-perla-34651;99;1;0;1
1015;zhalyuzi/plisse/krep-perla-34991;130;2;0;1
1016;zhalyuzi/plisse/krep-perla-40771;130;2;0;1
1017;zhalyuzi/plisse/krep-perla-42101;130;2;0;1
1018;zhalyuzi/plisse/krep-perla-42211;130;2;1;1
1019;zhalyuzi/plisse/krep-perla-42901;130;2;1;1
1020;zhalyuzi/plisse/krep-perla-51731;130;2;0;1
1021;zhalyuzi/plisse/krep-perla-52521;130;2;0;1
