;0.4;0.5;0.6;0.7;0.8;0.9;1;1.1;1.2;1.3;1.4;1.5;1.6;1.7;1.8;1.9;2.0;2.1;2.2;2.3;2.4;2.5;2.6
0.5;46;48;51;54;56;59;62;64;67;70;72;75;77;80;119;123;126;129;133;136;139;143;146
0.6;48;51;54;57;61;64;67;70;73;76;80;83;86;89;128;132;136;140;144;148;152;156;160
0.7;49;53;57;61;65;68;72;76;80;83;87;91;95;99;138;142;147;151;156;160;164;169;173
0.8;51;56;60;64;69;73;78;82;86;90;95;99;104;108;147;152;157;162;167;172;177;182;187
0.9;53;58;63;68;73;78;83;88;93;98;102;107;112;117;156;162;167;173;178;200;189;195;200
1;55;61;66;71;77;82;88;94;99;105;110;116;121;126;165;172;178;184;190;196;202;208;214
1.1;57;63;69;75;81;87;93;99;105;112;118;124;130;136;175;181;188;194;20;208;214;221;227
1.2;59;65;72;79;85;92;99;105;112;118;125;132;139;145;184;191;198;205;212;220;227;234;241
1.3;61;68;75;82;89;97;104;111;118;126;133;140;147;155;193;201;209;216;224;232;239;247;254
1.4;62;70;78;86;94;101;109;117;125;133;141;148;156;164;203;211;219;227;235;243;251;260;268
1.5;64;72;81;89;98;106;114;123;131;140;148;157;165;173;212;220;229;238;247;255;264;273;281
1.6;66;75;84;93;102;111;120;129;138;147;156;165;174;183;221;230;240;249;258;267;276;286;295
1.7;68;77;87;96;106;116;125;134;144;154;163;173;182;192;230;240;250;260;269;279;289;299;308
1.8;70;80;90;100;110;120;130;141;151;161;171;181;191;201;240;250;260;270;281;291;301;312;322
1.9;73;84;96;107;118;130;141;152;164;175;186;197;209;220;258;269;281;292;304;315;326;337;349
2;75;87;99;111;122;134;146;158;170;182;194;206;218;229;267;279;291;303;315;327;339;351;362
2.1;77;89;102;114;126;139;151;164;176;189;201;214;226;239;277;289;302;314;326;339;351;364;376
2.2;79;92;105;118;131;144;157;170;183;196;209;222;235;248;286;299;312;325;338;351;364;377;390
2.3;80;94;108;121;135;149;162;176;189;203;217;230;244;258;295;309;322;336;349;363;376;390;403
2.4;82;96;111;125;139;153;167;182;196;210;224;238;252;267;305;319;333;346;361;375;389;403;416
2.5;84;99;114;128;143;158;173;187;202;217;232;246;261;276;314;328;343;357;372;386;401;416;430
2.6;112;127;142;157;173;188;203;218;233;248;263;278;293;308;323;338;353;368;383;398;414;412;444
2.7;114;130;145;161;176;192;208;223;255;254;270;286;301;317;332;348;363;378;395;410;426;441;457
2.8;116;132;148;164;180;196;196;229;245;261;277;293;309;326;342;358;374;390;406;422;422;455;471
2.9;118;134;151;168;184;201;218;234;251;268;284;301;318;334;351;368;384;401;418;434;451;467;484
3.0;120;137;154;171;188;205;223;240;257;274;291;309;326;343;360;377;395;412;429;446;463;480;498
3.1;121;139;157;174;192;210;228;245;263;281;299;316;334;352;369;387;405;423;440;458;476;493;511
3.2;123;141;160;178;196;214;233;251;269;287;306;324;342;361;379;397;415;433;452;470;488;506;525
3.3;125;144;163;181;200;219;238;257;275;294;313;332;351;369;388;407;425;444;463;482;501;519;538
3.4;127;146;165;185;204;223;243;262;281;301;320;339;359;378;397;416;436;455;474;494;350;533;552
3.5;129;149;168;188;208;228;248;268;287;307;327;347;367;387;407;426;446;466;486;506;526;545;565
3.6;131;151;171;192;212;232;253;273;294;314;334;355;375;395;416;436;456;477;497;518;538;558;579
3.7;132;153;174;195;216;237;258;279;300;321;505;362;383;404;425;446;467;488;509;530;550;571;592
3.8;134;156;177;199;220;241;263;284;306;327;348;370;391;413;434;456;477;499;520;541;563;584;606
3.9;136;158;180;202;224;246;268;290;312;334;356;378;400;422;444;466;488;510;532;553;575;597;619
4.0;138;160;183;205;228;250;273;295;318;340;363;385;408;430;453;475;498;520;543;565;588;610;633
4.05;140;163;186;209;232;255;278;301;324;347;370;393;416;439;462;485;508;531;554;577;600;623;646
